SaleKey,SaleID,DateKey,ProductKey,GeoKey,ChannelKey,CustomerKey,UnitPriceUSD,DiscountPct,UnitsSold,DiscountedPriceUSD,RevenueUSD,Currency,FXRateToUSD,RevenueLocalCurrency,CustomerRating,ReturnStatus
37,APPL-00009949,20220104,1167,442,15,140,128.67,0.00,2,128.67,257.34,TWD,31.800000,8183.41,5.00,Kept
38,APPL-00002633,20220104,1162,123,27,7,102.16,3.00,2,99.10,198.20,DKK,6.900000,1367.58,3.50,Kept
39,APPL-00004202,20220104,1090,210,18,105,1108.59,0.00,1,1108.59,1108.59,IDR,15700.000000,17404863.00,3.70,Kept
40,APPL-00005151,20220104,1108,258,6,105,1324.13,0.00,1,1324.13,1324.13,KES,129.000000,170812.77,3.98,Kept
41,APPL-00004147,20220105,1168,208,34,70,127.13,5.00,1,120.77,120.77,IDR,15700.000000,1896089.00,4.07,Exchanged
42,APPL-00008340,20220105,5,382,13,42,157.12,0.00,1,157.12,157.12,SGD,1.340000,210.54,3.10,Returned
43,APPL-00005535,20220105,4,270,41,112,123.17,0.00,3,123.17,369.51,MYR,4.710000,1740.39,3.40,Kept
44,APPL-00000159,20220105,158,6,33,21,602.01,2.00,1,589.97,589.97,ARS,907.000000,535102.79,3.20,Kept
45,APPL-00006000,20220105,360,287,33,44,590.55,15.00,1,501.97,501.97,EUR,0.920000,461.81,3.50,Kept
46,APPL-00000864,20220106,1040,33,41,42,596.11,5.00,3,566.30,1698.90,BDT,110.000000,186879.00,4.02,Kept
47,APPL-00005397,20220106,869,266,29,82,987.62,3.00,3,957.99,2873.97,MYR,4.710000,13536.40,4.60,Kept
48,APPL-00006175,20220106,899,294,26,73,956.03,7.00,1,889.11,889.11,NZD,1.630000,1449.25,3.70,Kept
49,APPL-00001568,20220106,755,69,25,71,834.92,15.00,6,709.68,4258.08,CAD,1.360000,5790.99,4.50,Kept
50,APPL-00010231,20220106,96,451,41,21,484.76,2.00,5,475.06,2375.30,THB,35.200000,83610.56,4.10,Kept
51,APPL-00005152,20220106,46,258,40,91,385.14,0.00,3,385.14,1155.42,KES,129.000000,149049.18,4.50,Kept
52,APPL-00005130,20220106,13,257,19,119,247.15,0.00,3,247.15,741.45,JPY,149.800000,111069.21,3.95,Kept
53,APPL-00009924,20220107,32,441,37,7,259.81,3.00,3,252.02,756.06,TWD,31.800000,24042.71,3.60,Kept
54,APPL-00007617,20220107,45,352,28,112,419.89,15.00,3,356.91,1070.73,EUR,0.920000,985.07,3.40,Kept
55,APPL-00005495,20220107,56,269,11,119,860.17,0.00,1,860.17,860.17,MYR,4.710000,4051.40,3.40,Kept
56,APPL-00000262,20220107,65,9,34,91,105.29,3.00,4,102.13,408.52,AUD,1.530000,625.04,4.08,Kept
57,APPL-00008649,20220107,78,386,23,70,1208.91,0.00,4,1208.91,4835.64,ZAR,18.900000,91393.60,3.40,Kept
58,APPL-00004804,20220107,155,239,14,21,641.08,15.00,1,544.92,544.92,EUR,0.920000,501.33,3.20,Kept
59,APPL-00009456,20220107,786,423,20,71,846.81,0.00,2,846.81,1693.62,SEK,10.550000,17867.69,3.97,Kept
60,APPL-00002361,20220107,718,112,38,86,1071.50,0.00,3,1071.50,3214.50,COP,3960.000000,12729420.00,4.70,Kept
61,APPL-00010964,20220107,957,482,24,121,1109.16,0.00,3,1109.16,3327.48,GBP,0.790000,2628.71,3.50,Kept
62,APPL-00003395,20220107,1064,157,18,42,6842.19,2.00,1,6705.35,6705.35,EUR,0.920000,6168.92,4.04,Kept
63,APPL-00007642,20220107,381,353,37,2,610.74,15.00,1,519.13,519.13,EUR,0.920000,477.60,3.97,Kept
64,APPL-00000126,20220107,340,5,31,83,616.90,3.00,3,598.39,1795.17,ARS,907.000000,1628219.19,3.97,Kept
65,APPL-00006620,20220107,597,311,10,36,870.80,10.00,1,783.72,783.72,NGN,1550.000000,1214766.00,4.80,Kept
66,APPL-00009697,20220107,578,432,12,72,968.23,15.00,1,823.00,823.00,CHF,0.880000,724.24,3.90,Kept
67,APPL-00007711,20220107,493,356,36,11,1145.63,3.00,2,1111.26,2222.52,EUR,0.920000,2044.72,4.03,Kept
68,APPL-00005859,20220107,1162,282,21,56,92.91,5.00,1,88.26,88.26,MXN,17.150000,1513.66,4.40,Kept
69,APPL-00006125,20220107,1174,292,13,28,41.60,0.00,1,41.60,41.60,EUR,0.920000,38.27,3.80,Kept
70,APPL-00005429,20220107,1172,267,41,126,38.92,0.00,2,38.92,77.84,MYR,4.710000,366.63,3.30,Kept
71,APPL-00004435,20220107,1113,220,6,70,1213.63,15.00,1,1031.59,1031.59,EUR,0.920000,949.06,3.98,Kept
72,APPL-00003605,20220107,1158,170,42,14,2341.28,0.00,6,2341.28,14047.68,EUR,0.920000,12923.87,4.02,Returned
73,APPL-00006491,20220108,1170,305,23,63,136.27,10.00,3,122.64,367.92,NGN,1550.000000,570276.00,4.30,Kept
74,APPL-00005242,20220108,1175,261,4,56,29.41,0.00,2,29.41,58.82,KES,129.000000,7587.78,4.30,Returned
75,APPL-00009003,20220108,341,399,33,30,630.76,10.00,2,567.68,1135.36,KRW,1328.000000,1507758.08,4.90,Kept
76,APPL-00001747,20220108,269,78,19,132,657.44,5.00,4,624.57,2498.28,CLP,960.000000,2398348.80,3.82,Kept
77,APPL-00001604,20220108,219,71,4,91,821.63,0.00,5,821.63,4108.15,CAD,1.360000,5587.08,3.90,Kept
78,APPL-00006176,20220108,1056,294,23,7,615.50,5.00,1,584.73,584.73,NZD,1.630000,953.11,3.40,Kept
79,APPL-00005181,20220108,863,259,31,132,982.20,0.00,5,982.20,4911.00,KES,129.000000,633519.00,3.00,Kept
80,APPL-00009897,20220108,74,440,42,42,1381.30,0.00,1,1381.30,1381.30,TWD,31.800000,43925.34,4.10,Kept
81,APPL-00002920,20220108,57,135,36,35,776.21,0.00,1,776.21,776.21,EUR,0.920000,714.11,4.90,Kept
82,APPL-00006445,20220109,67,303,11,98,102.52,2.00,2,100.47,200.94,NGN,1550.000000,311457.00,4.00,Kept
83,APPL-00000228,20220109,63,8,16,77,300.37,0.00,2,300.37,600.74,ARS,907.000000,544871.18,3.97,Kept
84,APPL-00005398,20220109,87,266,11,49,1302.18,0.00,1,1302.18,1302.18,MYR,4.710000,6133.27,4.08,Kept
85,APPL-00005469,20220109,862,268,3,36,1008.64,7.00,1,938.04,938.04,MYR,4.710000,4418.17,4.70,Kept
86,APPL-00003054,20220109,854,140,2,30,954.92,3.00,8,926.27,7410.16,EUR,0.920000,6817.35,3.99,Kept
87,APPL-00001519,20220109,712,66,32,47,936.16,5.00,1,889.35,889.35,CAD,1.360000,1209.52,4.80,Kept
88,APPL-00001923,20220109,928,84,37,121,1200.02,0.00,6,1200.02,7200.12,CLP,960.000000,6912115.20,4.00,Kept
89,APPL-00004911,20220109,223,245,41,7,835.69,10.00,1,752.12,752.12,JPY,149.800000,112667.58,3.90,Kept
90,APPL-00003807,20220109,500,179,38,114,1142.55,0.00,1,1142.55,1142.55,HKD,7.820000,8934.74,3.60,Kept
91,APPL-00011141,20220109,637,497,41,90,893.38,0.00,1,893.38,893.38,USD,1.000000,893.38,4.10,Exchanged
92,APPL-00005212,20220109,1170,260,16,105,126.95,0.00,3,126.95,380.85,KES,129.000000,49129.65,3.40,Kept
93,APPL-00004136,20220110,268,207,42,56,1120.23,0.00,3,1120.23,3360.69,INR,83.500000,280617.61,3.60,Returned
94,APPL-00011225,20220110,310,505,26,97,721.13,0.00,4,721.13,2884.52,USD,1.000000,2884.52,3.82,Kept
95,APPL-00008264,20220110,1026,379,31,100,408.69,0.00,1,408.69,408.69,SAR,3.750000,1532.59,3.80,Kept
96,APPL-00009209,20220110,97,411,21,119,415.32,2.00,2,407.01,814.02,EUR,0.920000,748.90,3.94,Kept
97,APPL-00005819,20220110,133,280,17,112,617.04,5.00,2,586.19,1172.38,MXN,17.150000,20106.32,3.90,Kept
98,APPL-00003530,20220110,67,166,13,42,101.85,10.00,2,91.66,183.32,EUR,0.920000,168.65,3.70,Kept
99,APPL-00009402,20220110,66,420,39,91,95.25,0.00,2,95.25,190.50,SEK,10.550000,2009.78,4.08,Kept
100,APPL-00006809,20220110,27,319,29,21,120.99,0.00,2,120.99,241.98,NOK,10.650000,2577.09,4.30,Kept
101,APPL-00006881,20220111,21,323,41,140,122.26,10.00,2,110.03,220.06,PKR,279.000000,61396.74,3.50,Kept
102,APPL-00010738,20220111,11,470,28,105,590.28,3.00,1,572.57,572.57,AED,3.670000,2101.33,3.80,Kept
103,APPL-00007002,20220111,61,328,27,119,293.83,2.00,1,287.95,287.95,PKR,279.000000,80338.05,3.97,Kept
104,APPL-00008291,20220111,59,380,32,7,862.06,7.00,3,801.72,2405.16,SAR,3.750000,9019.35,3.96,Kept
105,APPL-00005982,20220111,202,286,30,14,804.34,7.00,4,748.04,2992.16,EUR,0.920000,2752.79,3.94,Kept
106,APPL-00007329,20220111,188,341,37,91,500.46,7.00,1,465.43,465.43,PHP,56.500000,26296.80,3.20,Kept
107,APPL-00000802,20220111,923,31,41,41,1106.77,15.00,1,940.75,940.75,BDT,110.000000,103482.50,3.90,Kept
108,APPL-00004979,20220111,878,249,15,3,951.93,0.00,1,951.93,951.93,JPY,149.800000,142599.11,4.01,Kept
109,APPL-00003625,20220111,306,171,40,46,734.92,3.00,1,712.87,712.87,EUR,0.920000,655.84,3.40,Kept
110,APPL-00001861,20220111,380,82,15,43,605.97,3.00,2,587.79,1175.58,CLP,960.000000,1128556.80,4.70,Kept
111,APPL-00003359,20220111,430,155,2,100,909.80,15.00,2,773.33,1546.66,EUR,0.920000,1422.93,4.10,Kept
112,APPL-00010192,20220111,1170,450,34,133,119.15,5.00,1,113.19,113.19,THB,35.200000,3984.29,4.20,Exchanged
113,APPL-00003055,20220111,1176,140,34,63,27.45,5.00,1,26.08,26.08,EUR,0.920000,23.99,3.90,Kept
114,APPL-00007859,20220111,1168,362,23,112,137.25,0.00,3,137.25,411.75,RUB,91.500000,37675.12,4.07,Kept
115,APPL-00008341,20220112,1159,382,12,77,98.48,0.00,1,98.48,98.48,SGD,1.340000,131.96,4.03,Kept
116,APPL-00011240,20220112,631,507,35,118,965.61,0.00,2,965.61,1931.22,USD,1.000000,1931.22,4.40,Kept
117,APPL-00005565,20220112,299,271,24,86,683.26,0.00,1,683.26,683.26,MYR,4.710000,3218.15,3.82,Kept
118,APPL-00000363,20220112,224,13,38,49,748.65,2.00,1,733.68,733.68,AUD,1.530000,1122.53,3.50,Kept
119,APPL-00005430,20220112,788,267,41,114,816.54,7.00,2,759.38,1518.76,MYR,4.710000,7153.36,3.97,Kept
120,APPL-00006599,20220112,1067,310,18,126,7469.12,5.00,4,7095.66,28382.64,NGN,1550.000000,43993092.00,4.60,Kept
121,APPL-00010297,20220112,1076,453,12,21,7324.07,2.00,3,7177.59,21532.77,THB,35.200000,757953.50,4.10,Kept
122,APPL-00010621,20220112,28,466,13,133,125.34,3.00,2,121.58,243.16,AED,3.670000,892.40,4.70,Kept
123,APPL-00006177,20220113,28,294,37,14,134.56,0.00,5,134.56,672.80,NZD,1.630000,1096.66,4.11,Kept
124,APPL-00004039,20220113,39,195,39,126,303.67,0.00,2,303.67,607.34,INR,83.500000,50712.89,3.80,Kept
125,APPL-00002726,20220113,85,127,15,112,1204.52,0.00,1,1204.52,1204.52,EGP,30.900000,37219.67,4.90,Kept
126,APPL-00001549,20220113,1067,68,6,21,7100.43,3.00,4,6887.42,27549.68,CAD,1.360000,37467.56,3.10,Kept
127,APPL-00001804,20220113,1046,80,18,84,612.75,15.00,1,520.84,520.84,CLP,960.000000,500006.40,3.20,Returned
128,APPL-00004529,20220113,935,224,20,66,1140.73,0.00,1,1140.73,1140.73,EUR,0.920000,1049.47,3.00,Kept
129,APPL-00010644,20220113,344,467,24,85,644.52,0.00,2,644.52,1289.04,AED,3.670000,4730.78,4.80,Kept
130,APPL-00008828,20220113,413,392,26,101,847.52,7.00,1,788.19,788.19,KRW,1328.000000,1046716.32,4.90,Kept
131,APPL-00004580,20220113,472,226,23,118,1020.45,15.00,1,867.38,867.38,EUR,0.920000,797.99,4.03,Kept
132,APPL-00005372,20220113,1127,265,15,112,1897.10,0.00,2,1897.10,3794.20,KES,129.000000,489451.80,3.40,Kept
133,APPL-00009552,20220114,1146,426,33,119,2398.44,0.00,1,2398.44,2398.44,CHF,0.880000,2110.63,3.40,Kept
134,APPL-00005923,20220114,1165,284,1,84,75.02,7.00,2,69.77,139.54,EUR,0.920000,128.38,3.30,Kept
135,APPL-00011317,20220114,1171,513,41,119,37.81,0.00,1,37.81,37.81,VND,24500.000000,926345.00,4.20,Kept
136,APPL-00006148,20220114,554,293,1,109,823.05,10.00,4,740.75,2963.00,EUR,0.920000,2725.96,3.40,Kept
137,APPL-00002056,20220114,222,94,5,91,771.08,15.00,1,655.42,655.42,CNY,7.240000,4745.24,4.70,Kept
138,APPL-00006367,20220114,884,300,14,47,1018.77,3.00,1,988.21,988.21,NZD,1.630000,1610.78,3.70,Kept
139,APPL-00006422,20220114,906,302,38,71,948.06,0.00,1,948.06,948.06,NGN,1550.000000,1469493.00,4.90,Kept
140,APPL-00002921,20220114,709,135,8,81,1034.55,15.00,2,879.37,1758.74,EUR,0.920000,1618.04,4.03,Kept
141,APPL-00008931,20220114,98,396,37,91,444.86,15.00,1,378.13,378.13,KRW,1328.000000,502156.64,4.90,Kept
142,APPL-00008878,20220114,63,394,38,77,291.03,5.00,1,276.48,276.48,KRW,1328.000000,367165.44,3.50,Returned
143,APPL-00003163,20220114,47,144,6,112,387.23,2.00,2,379.49,758.98,EUR,0.920000,698.26,4.10,Kept
144,APPL-00002634,20220114,12,123,31,133,523.25,0.00,2,523.25,1046.50,DKK,6.900000,7220.85,3.80,Kept
145,APPL-00007415,20220114,4,344,31,49,129.04,0.00,1,129.04,129.04,PLN,3.970000,512.29,3.90,Kept
146,APPL-00004178,20220115,3,209,42,119,120.43,3.00,1,116.82,116.82,IDR,15700.000000,1834074.00,3.90,Kept
147,APPL-00001960,20220115,8,86,5,119,169.72,0.00,2,169.72,339.44,CNY,7.240000,2457.55,4.50,Returned
148,APPL-00000335,20220115,10,12,41,98,506.31,5.00,3,480.99,1442.97,AUD,1.530000,2207.74,4.20,Kept
149,APPL-00004082,20220115,36,201,10,119,244.56,0.00,1,244.56,244.56,INR,83.500000,20420.76,5.00,Kept
150,APPL-00009231,20220115,112,412,34,126,422.75,3.00,1,410.07,410.07,EUR,0.920000,377.26,3.94,Kept
151,APPL-00007500,20220115,755,347,40,13,782.97,7.00,1,728.16,728.16,PLN,3.970000,2890.80,3.50,Kept
152,APPL-00003082,20220115,1043,141,6,119,562.89,15.00,5,478.46,2392.30,EUR,0.920000,2200.92,3.70,Kept
153,APPL-00008679,20220115,225,387,32,105,750.61,15.00,1,638.02,638.02,ZAR,18.900000,12058.58,4.00,Kept
154,APPL-00006446,20220115,298,303,20,41,664.63,0.00,3,664.63,1993.89,NGN,1550.000000,3090529.50,3.10,Kept
155,APPL-00004066,20220115,573,199,21,103,861.49,7.00,1,801.19,801.19,INR,83.500000,66899.37,3.20,Returned
156,APPL-00000336,20220115,580,12,42,33,956.81,10.00,1,861.13,861.13,AUD,1.530000,1317.53,4.20,Kept
157,APPL-00007227,20220115,625,337,9,132,881.74,3.00,1,855.29,855.29,PHP,56.500000,48323.88,5.00,Kept
158,APPL-00010298,20220115,1132,453,4,77,2047.43,7.00,1,1904.11,1904.11,THB,35.200000,67024.67,3.96,Kept
159,APPL-00010319,20220115,1086,454,32,119,1163.71,0.00,2,1163.71,2327.42,TRY,30.500000,70986.31,4.03,Kept
160,APPL-00007739,20220116,1109,357,35,49,1272.22,0.00,3,1272.22,3816.66,EUR,0.920000,3511.33,4.20,Kept
161,APPL-00004096,20220116,1152,202,40,84,2376.71,15.00,2,2020.20,4040.40,INR,83.500000,337373.40,4.02,Kept
162,APPL-00010739,20220116,1178,470,13,28,30.86,5.00,1,29.32,29.32,AED,3.670000,107.60,4.15,Kept
163,APPL-00001776,20220116,599,79,9,6,832.30,2.00,1,815.65,815.65,CLP,960.000000,783024.00,3.00,Kept
164,APPL-00005131,20220116,636,257,4,71,950.81,7.00,2,884.25,1768.50,JPY,149.800000,264921.30,3.20,Kept
165,APPL-00002922,20220116,382,135,33,62,557.20,0.00,2,557.20,1114.40,EUR,0.920000,1025.25,3.97,Kept
166,APPL-00000747,20220116,891,29,4,64,954.58,0.00,1,954.58,954.58,BDT,110.000000,105003.80,3.90,Kept
167,APPL-00008606,20220116,122,384,1,63,473.65,0.00,1,473.65,473.65,ZAR,18.900000,8951.98,3.94,Exchanged
168,APPL-00000446,20220116,76,16,36,126,1231.66,15.00,1,1046.91,1046.91,AUD,1.530000,1601.77,5.00,Kept
169,APPL-00005470,20220116,81,268,26,112,1272.86,15.00,6,1081.93,6491.58,MYR,4.710000,30575.34,4.30,Returned
170,APPL-00001777,20220116,20,79,2,7,105.93,0.00,1,105.93,105.93,CLP,960.000000,101692.80,3.60,Kept
171,APPL-00010344,20220116,23,455,8,70,128.38,0.00,4,128.38,513.52,TRY,30.500000,15662.36,3.20,Kept
172,APPL-00000931,20220117,28,35,2,140,122.27,2.00,1,119.82,119.82,BDT,110.000000,13180.20,3.60,Kept
173,APPL-00005182,20220117,853,259,30,50,917.11,0.00,1,917.11,917.11,KES,129.000000,118307.19,3.99,Kept
174,APPL-00007390,20220117,830,343,21,5,944.11,3.00,4,915.79,3663.16,PLN,3.970000,14542.75,3.10,Kept
175,APPL-00007107,20220117,1065,332,6,49,6553.92,0.00,6,6553.92,39323.52,PHP,56.500000,2221778.88,4.04,Kept
176,APPL-00007256,20220117,1082,338,18,91,1058.02,10.00,2,952.22,1904.44,PHP,56.500000,107600.86,4.03,Kept
177,APPL-00003606,20220117,424,170,4,135,827.26,7.00,3,769.35,2308.05,EUR,0.920000,2123.41,3.40,Kept
178,APPL-00000748,20220117,1089,29,6,35,1108.43,3.00,1,1075.18,1075.18,BDT,110.000000,118269.80,4.40,Kept
179,APPL-00003377,20220117,1098,156,12,133,1176.53,7.00,2,1094.17,2188.34,EUR,0.920000,2013.27,4.10,Kept
180,APPL-00002450,20220118,1108,116,35,56,1198.18,0.00,2,1198.18,2396.36,DKK,6.900000,16534.88,3.98,Kept
181,APPL-00007768,20220118,1170,358,37,84,120.94,5.00,2,114.89,229.78,EUR,0.920000,211.40,4.07,Kept
182,APPL-00009328,20220118,1172,417,12,35,37.73,5.00,4,35.84,143.36,SEK,10.550000,1512.45,3.10,Kept
183,APPL-00004367,20220118,1173,217,41,70,41.36,0.00,4,41.36,165.44,IDR,15700.000000,2597408.00,4.00,Returned
184,APPL-00002828,20220118,480,131,19,89,1135.30,7.00,3,1055.83,3167.49,EGP,30.900000,97875.44,4.03,Kept
185,APPL-00009507,20220118,612,425,26,99,873.04,15.00,1,742.08,742.08,SEK,10.550000,7828.94,3.93,Kept
186,APPL-00008292,20220118,305,380,8,87,738.46,15.00,4,627.69,2510.76,SAR,3.750000,9415.35,4.50,Kept
187,APPL-00011192,20220118,806,502,5,53,919.86,5.00,1,873.87,873.87,USD,1.000000,873.87,4.80,Kept
188,APPL-00002251,20220118,725,108,35,90,929.22,0.00,1,929.22,929.22,COP,3960.000000,3679711.20,4.70,Kept
189,APPL-00009327,20220118,15,417,31,140,237.72,0.00,2,237.72,475.44,SEK,10.550000,5015.89,4.70,Returned
190,APPL-00000097,20220118,123,4,7,112,416.95,2.00,2,408.61,817.22,ARS,907.000000,741218.54,3.20,Returned
191,APPL-00009869,20220118,46,439,2,98,420.34,7.00,1,390.92,390.92,TWD,31.800000,12431.26,4.40,Kept
192,APPL-00004805,20220118,57,239,5,133,748.37,10.00,1,673.53,673.53,EUR,0.920000,619.65,3.60,Kept
193,APPL-00006368,20220119,47,300,23,21,383.34,0.00,1,383.34,383.34,NZD,1.630000,624.84,3.70,Kept
194,APPL-00003164,20220119,62,144,35,77,296.75,0.00,1,296.75,296.75,EUR,0.920000,273.01,3.97,Kept
195,APPL-00008806,20220119,130,391,11,119,604.10,15.00,1,513.49,513.49,KRW,1328.000000,681914.72,3.91,Kept
196,APPL-00002881,20220119,3,133,8,70,129.65,15.00,1,110.20,110.20,EGP,30.900000,3405.18,3.90,Kept
197,APPL-00007522,20220119,3,348,24,98,134.49,0.00,2,134.49,268.98,PLN,3.970000,1067.85,3.90,Kept
198,APPL-00006149,20220119,35,293,27,126,251.38,2.00,2,246.35,492.70,EUR,0.920000,453.28,3.20,Kept
199,APPL-00007740,20220119,33,357,42,14,247.89,10.00,2,223.10,446.20,EUR,0.920000,410.50,3.30,Kept
200,APPL-00002829,20220119,19,131,33,84,95.58,0.00,1,95.58,95.58,EGP,30.900000,2953.42,4.50,Kept
201,APPL-00005889,20220119,812,283,20,20,885.32,5.00,1,841.05,841.05,MXN,17.150000,14424.01,5.00,Kept
202,APPL-00002856,20220119,1045,132,16,14,614.23,2.00,4,601.95,2407.80,EGP,30.900000,74401.02,4.60,Kept
203,APPL-00011419,20220119,991,517,6,58,407.75,5.00,1,387.36,387.36,VND,24500.000000,9490320.00,3.70,Kept
204,APPL-00000576,20220119,975,21,4,86,1207.33,2.00,1,1183.18,1183.18,EUR,0.920000,1088.53,4.08,Exchanged
205,APPL-00008118,20220119,332,373,41,62,591.87,2.00,1,580.03,580.03,SAR,3.750000,2175.11,4.50,Returned
206,APPL-00005471,20220119,223,268,2,7,738.15,5.00,2,701.24,1402.48,MYR,4.710000,6605.68,3.94,Returned
207,APPL-00009950,20220119,1176,442,13,140,27.58,7.00,1,25.65,25.65,TWD,31.800000,815.67,4.60,Kept
208,APPL-00002749,20220119,1168,128,1,70,130.27,3.00,2,126.36,252.72,EGP,30.900000,7809.05,4.07,Kept
209,APPL-00007842,20220120,1167,361,23,77,130.69,0.00,2,130.69,261.38,EUR,0.920000,240.47,4.07,Kept
210,APPL-00002574,20220120,1178,121,19,77,27.60,10.00,5,24.84,124.20,DKK,6.900000,856.98,5.00,Returned
211,APPL-00004859,20220120,295,242,39,102,698.98,15.00,3,594.13,1782.39,EUR,0.920000,1639.80,3.00,Kept
212,APPL-00007108,20220120,358,332,7,90,625.47,10.00,2,562.92,1125.84,PHP,56.500000,63609.96,3.20,Kept
213,APPL-00006423,20220120,5,302,17,49,160.18,0.00,4,160.18,640.72,NGN,1550.000000,993116.00,3.40,Kept
214,APPL-00009553,20220120,11,426,28,28,508.59,15.00,1,432.30,432.30,CHF,0.880000,380.42,4.00,Kept
215,APPL-00000066,20220120,159,3,36,42,559.06,0.00,7,559.06,3913.42,ARS,907.000000,3549471.94,4.70,Kept
216,APPL-00005536,20220120,63,270,20,49,310.44,3.00,1,301.13,301.13,MYR,4.710000,1418.32,3.50,Kept
217,APPL-00002695,20220120,68,126,8,105,91.87,0.00,2,91.87,183.74,EGP,30.900000,5677.57,3.90,Kept
218,APPL-00006790,20220121,66,318,16,56,105.45,15.00,2,89.63,179.26,NOK,10.650000,1909.12,4.30,Kept
